id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
50769,uncommon,4000,ufo,ufo,,2022-12-13T17:00:21.096Z,600,600,81,0,0,0,0
50693,uncommon,4500,ufo,ufo,,2022-12-13T13:09:15.120Z,600,600,7,145,62,2.42,0
50728,uncommon,4000,ufo,ufo,,2022-12-13T17:51:40.834Z,600,600,42,105,46,3.37,0
50788,uncommon,3900,ufo,ufo,,2022-12-13T17:51:54.469Z,600,600,97,133,57,2.02,0
58738,uncommon,7120,moon,moon,,2022-12-14T00:47:20.449Z,600,600,357,32,17,0,0
51414,uncommon,5999,ufo,ufo,,2022-12-13T09:47:37.834Z,600,600,224,6312,2341,293.48,100
60695,uncommon,800,bomb,bomb,,2022-12-11T23:53:47.717Z,600,600,529,6,2,0.33,0
60711,uncommon,800,bomb,bomb,,2022-12-11T23:53:56.770Z,600,600,534,1,0,0,0
60807,uncommon,800,bomb,bomb,,2022-12-11T23:53:53.223Z,600,600,547,8,1,0,0
61013,uncommon,1000,bomb,bomb,,2022-12-13T21:55:02.217Z,600,600,600,726,375,28.95,100
66535,uncommon,780,bomb,bomb,,2022-12-14T00:02:23.283Z,600,600,609,0,0,0,0
58772,uncommon,6500,moon,moon,,2022-12-13T09:24:22.529Z,600,600,359,32,13,0.66,0
60177,uncommon,800,bomb,bomb,,2022-12-11T23:53:44.708Z,600,600,443,22,8,0,0
60895,uncommon,800,bomb,bomb,,2022-12-11T23:53:39.517Z,600,600,566,26,11,0.8,0
51362,uncommon,4500,ufo,ufo,,2022-12-12T07:04:11.750Z,600,600,212,139,63,2.97,340
58031,uncommon,8000,moon,moon,,2022-12-12T11:29:22.028Z,600,600,299,49,24,0.99,0
46501,uncommon,900,bomb,bomb,,2022-12-11T08:02:56.624Z,600,600,155,409,175,7.64,0
59773,uncommon,6800,moon,moon,,2022-12-13T09:24:31.668Z,600,600,528,41,27,0,0
50779,uncommon,3950,ufo,ufo,,2022-12-13T17:51:48.058Z,600,600,90,120,53,1.65,0
51077,uncommon,8889,ufo,ufo,,2022-12-13T20:14:32.636Z,600,600,140,10861,5834,192.72,0
