id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
51331,uncommon,3390,ufo,ufo,,2023-01-04T18:55:20.071Z,600,600,201.0,1580,802,150.12,0
60817,uncommon,1500,bomb,bomb,,2023-01-05T23:34:28.834Z,600,600,550.0,39,22,0,0
58031,uncommon,8000,moon,moon,,2023-01-06T08:57:11.952Z,600,600,299.0,49,24,0.99,0
43995,uncommon,3100,moon,moon,,2023-01-07T10:49:28.162Z,600,600,73.0,1002,409,13.78,0
65322,common,495,football,football,,2023-01-06T17:22:35.340Z,2000,2000,1855.0,0,0,0,0
64017,common,1000,football,football,,2023-01-06T20:52:52.030Z,2000,2000,1323.0,62,30,0,0
64447,common,1380,football,football,,2023-01-07T02:17:15.000Z,2000,2000,1480.0,30,26,17.49,0
64716,common,900,football,football,,2023-01-07T02:17:12.950Z,2000,2000,1611.0,0,0,0,0
65545,common,600,football,football,,2023-01-07T08:30:51.271Z,2000,2000,2011.0,0,0,0,250
42023,uncommon,3100,moon,moon,,2023-01-07T10:49:20.483Z,600,600,47.0,1921,778,20.57,0
41994,uncommon,3100,moon,moon,,2023-01-07T10:49:22.196Z,600,600,46.0,1992,774,23.35,0
48783,uncommon,19000,moon,moon,,2023-01-06T20:46:54.853Z,600,600,122.0,14317,7569,19.35,7120
52343,uncommon,3100,ufo,ufo,,2023-01-07T10:48:26.680Z,600,600,350.0,88,44,1.32,0
42403,uncommon,3100,moon,moon,,2023-01-07T10:49:16.391Z,600,600,52.0,1909,790,16.51,0
52146,uncommon,3100,ufo,ufo,,2023-01-07T10:48:31.217Z,600,600,326.0,118,53,2.05,0
57017,uncommon,3150,moon,moon,,2023-01-06T18:38:33.541Z,600,600,219.0,70,36,3.44,0
53086,uncommon,4550,ufo,ufo,,2023-01-05T06:39:17.425Z,600,600,431.0,3114,1301,50.28,2970
60720,uncommon,800,bomb,bomb,,2023-01-06T07:40:23.958Z,600,600,537.0,26,9,0,0
53718,uncommon,950,bomb,bomb,,2023-01-07T12:13:28.296Z,600,600,262.0,124,58,0.91,1250
42542,uncommon,3100,moon,moon,,2023-01-07T10:49:26.065Z,600,600,60.0,1534,598,14.51,0
61018,uncommon,720,bomb,bomb,,2023-01-07T04:55:58.752Z,600,600,603.0,0,0,0,0
59710,common,1000,football,football,,2023-01-06T15:43:53.642Z,2000,2000,1127.0,27,16,1.53,340
61019,uncommon,800,bomb,bomb,,2023-01-06T07:40:17.608Z,600,600,604.0,19,7,0,0
65315,common,495,football,football,,2023-01-06T17:22:45.650Z,2000,2000,1849.0,0,0,0,0
65483,common,1300,football,football,,2023-01-07T08:47:13.351Z,2000,2000,1964.0,2084,933,5.81,1020
57264,common,500,football,football,,2023-01-07T08:35:55.352Z,2000,2000,1033.0,15,8,0,0
64042,common,500,football,football,,2023-01-07T08:35:47.284Z,2000,2000,1333.0,0,0,0,0
64139,common,600,football,football,,2023-01-06T15:51:28.889Z,2000,2000,1360.0,11,7,0,0
64846,common,500,football,football,,2023-01-07T02:14:17.979Z,2000,2000,1688.0,0,0,0,0
20545,uncommon,12000,moon,moon,,2023-01-05T01:13:41.635Z,600,600,17.0,12904,4432,29.95,1920
54606,uncommon,9300,ufo,ufo,,2023-01-07T08:45:39.142Z,600,600,539.0,5092,2000,714.43,3320
64824,common,1230,football,football,,2023-01-07T12:11:59.382Z,2000,2000,1675.0,751,392,166.13,1020
64931,common,500,football,football,,2023-01-07T08:35:13.283Z,2000,2000,1741.0,5,2,0,0
65423,common,500,football,football,,2023-01-07T08:36:05.841Z,2000,2000,1925.0,0,0,0,0
57530,uncommon,8000,moon,moon,,2023-01-06T16:01:30.652Z,600,600,247.0,75,40,0.73,5000
41985,uncommon,3100,moon,moon,,2023-01-07T10:49:24.367Z,600,600,45.0,1925,725,18.01,0
42612,uncommon,3000,bomb,bomb,,2023-01-06T09:52:53.228Z,600,600,131.0,23382,7441,779.23,1730
11504,common,3000,football,football,,2023-01-07T09:13:20.418Z,2000,2000,17.0,2461,745,4.33,3520
51077,uncommon,7999,ufo,ufo,,2023-01-07T11:19:11.850Z,600,600,140.0,11185,5999,204.93,0
50698,uncommon,8800,ufo,ufo,,2023-01-07T08:42:48.091Z,600,600,12.0,6251,2675,1327.04,13000
