id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
42184,uncommon,730,bomb,bomb,,2023-01-06T22:34:37.443Z,600,600,113,1045,409,12.38,0
51331,uncommon,3390,ufo,ufo,,2023-01-04T18:55:20.071Z,600,600,201,1580,802,150.12,0
60817,uncommon,1500,bomb,bomb,,2023-01-05T23:34:28.834Z,600,600,550,39,22,0,0
58031,uncommon,8000,moon,moon,,2023-01-06T08:57:11.952Z,600,600,299,49,24,0.99,0
43995,uncommon,3600,moon,moon,,2023-01-06T06:11:03.286Z,600,600,73,1002,409,13.78,0
64017,common,1000,football,football,,2023-01-06T20:52:52.030Z,2000,2000,1323,62,30,0,0
64447,common,1380,football,football,,2023-01-07T02:17:15.000Z,2000,2000,1480,30,26,17.49,0
65322,common,495,football,football,,2023-01-06T17:22:35.340Z,2000,2000,1855,0,0,0,0
64716,common,900,football,football,,2023-01-07T02:17:12.950Z,2000,2000,1611,0,0,0,0
65545,common,600,football,football,,2023-01-07T08:30:51.271Z,2000,2000,2011,0,0,0,250
41994,uncommon,3600,moon,moon,,2023-01-06T06:11:13.064Z,600,600,46,1992,774,23.35,0
42023,uncommon,3600,moon,moon,,2023-01-06T06:11:16.942Z,600,600,47,1921,778,20.57,0
48783,uncommon,19000,moon,moon,,2023-01-06T20:46:54.853Z,600,600,122,14317,7569,19.35,7120
52343,uncommon,3200,ufo,ufo,,2023-01-06T06:11:36.166Z,600,600,350,88,44,1.32,0
42403,uncommon,3600,moon,moon,,2023-01-06T06:11:19.987Z,600,600,52,1909,790,16.51,0
57017,uncommon,3150,moon,moon,,2023-01-06T18:38:33.541Z,600,600,219,70,36,3.44,0
52146,uncommon,3200,ufo,ufo,,2023-01-06T06:11:32.646Z,600,600,326,118,53,2.05,0
53086,uncommon,4550,ufo,ufo,,2023-01-05T06:39:17.425Z,600,600,431,3114,1301,50.28,2970
60720,uncommon,800,bomb,bomb,,2023-01-06T07:40:23.958Z,600,600,537,26,9,0,0
42542,uncommon,3600,moon,moon,,2023-01-06T06:11:06.987Z,600,600,60,1534,598,14.51,0
61018,uncommon,720,bomb,bomb,,2023-01-07T04:55:58.752Z,600,600,603,0,0,0,0
61019,uncommon,800,bomb,bomb,,2023-01-06T07:40:17.608Z,600,600,604,19,7,0,0
59710,common,1000,football,football,,2023-01-06T15:43:53.642Z,2000,2000,1127,27,16,1.53,340
42202,uncommon,740,bomb,bomb,,2023-01-06T20:15:03.926Z,600,600,114,979,405,8.05,0
57264,common,500,football,football,,2023-01-07T08:35:55.352Z,2000,2000,1033,15,8,0,0
64042,common,500,football,football,,2023-01-07T08:35:47.284Z,2000,2000,1333,0,0,0,0
64139,common,600,football,football,,2023-01-06T15:51:28.889Z,2000,2000,1360,11,7,0,0
65315,common,495,football,football,,2023-01-06T17:22:45.650Z,2000,2000,1849,0,0,0,0
64846,common,500,football,football,,2023-01-07T02:14:17.979Z,2000,2000,1688,0,0,0,0
65483,common,1300,football,football,,2023-01-07T08:47:13.351Z,2000,2000,1964,2084,933,5.81,1020
20545,uncommon,12000,moon,moon,,2023-01-05T01:13:41.635Z,600,600,17,12904,4432,29.95,1920
54606,uncommon,9300,ufo,ufo,,2023-01-07T08:45:39.142Z,600,600,539,5092,2000,714.43,3320
64824,common,1250,football,football,,2023-01-06T11:02:57.828Z,2000,2000,1675,751,392,166.13,1020
64931,common,500,football,football,,2023-01-07T08:35:13.283Z,2000,2000,1741,5,2,0,0
65423,common,500,football,football,,2023-01-07T08:36:05.841Z,2000,2000,1925,0,0,0,0
57530,uncommon,8000,moon,moon,,2023-01-06T16:01:30.652Z,600,600,247,75,40,0.73,5000
41985,uncommon,3600,moon,moon,,2023-01-06T06:11:09.211Z,600,600,45,1925,725,18.01,0
42612,uncommon,3000,bomb,bomb,,2023-01-06T09:52:53.228Z,600,600,131,23382,7441,779.23,1730
11504,common,2500,football,football,,2023-01-06T22:03:34.696Z,2000,2000,17,2461,745,4.33,2800
51077,uncommon,7993,ufo,ufo,,2023-01-07T09:07:55.006Z,600,600,140,11184,5998,204.93,0
50698,uncommon,8800,ufo,ufo,,2023-01-07T08:42:48.091Z,600,600,12,6251,2675,1327.04,13000
